BOS please show me airlines with flights from dallas to nashville stop burbank EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-stoploc.city_name atis_airline
BOS i need one first class ticket from salt lake city to san francisco EOS	O O B-class_type I-class_type O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS what is the cost of a flight from manhattan to westchester county EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS show me the airlines that fly from milwaukee to ottawa EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS show me all first class prices from buffalo to miami EOS	O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the fare for flights from manhattan to newark EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS how many stops are on all flights from hartford to st petersburg that depart before 5 oclock evening EOS	O B-flight_stop O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time atis_quantity
BOS show me the costs and times for flights from st louis to stratford EOS	O O O O B-flight_time O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_airfare
BOS can you show me one way economy fares from manhattan to montreal EOS	O O O B-round_trip I-round_trip B-economy O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS please list the flight times from pittsburgh to philadelphia EOS	O O B-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS what ground transportation is available at cincinnati EOS	O O O O O B-city_name atis_ground_service
BOS could you tell me about ground transportation arrangements from the cincinnati airport to downtown cincinnati EOS	O O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name atis_ground_service
BOS what airlines fly between austin and memphis EOS	O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS how much does it cost to fly from hartford to montreal on a tue EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name atis_airfare
BOS can i get a rental car in seattle EOS	O O O B-transport_type I-transport_type O B-city_name atis_ground_service
BOS i would like to see the economy fares for burbank to manhattan EOS	O O O O O B-economy O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS id like to have some information on a ticket from cleveland to brooklyn with a stop in la EOS	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name atis_airfare
BOS how much time does it take to go between the airport and downtown by ground transportation in riverside EOS	O O O O O O O O O O O O O O O O B-city_name atis_ground_service
BOS what ground transportation is available in brooklyn EOS	O O O O O B-city_name atis_ground_service
BOS ground transportations in arizona EOS	O O B-city_name atis_ground_service
BOS i would like to find out the ground travel available in newark EOS	O O O O O O O O O O B-city_name atis_ground_service
BOS is there ground transportation from the airport to downtown austin EOS	O O O O O O O O B-toloc.city_name atis_ground_service
BOS list departure times from charlotte to nashville which are later than 10 oclock and earlier than 3 pm EOS	B-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative O B-depart_time.time I-depart_time.time O B-depart_time.time_relative O B-depart_time.time I-depart_time.time atis_flight_time
BOS show me the names of airlines in orlando EOS	O O O O O O B-city_name atis_airline
BOS is there an airline that services washington dc and appleton EOS	O O O O O B-fromloc.city_name B-fromloc.state_code O B-fromloc.city_name atis_airline
BOS show me the airlines between tampa and riverside EOS	O O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS please find the cheapest fare from austin to las vegas EOS	O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS what time does the flight leave queens going to st louis on continental airlines EOS	B-flight_time O O O O B-fromloc.city_name O O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name atis_flight_time
BOS what airlines fly out of atlanta EOS	O O O O B-fromloc.city_name atis_airline
BOS what is the departure time of the latest flight of united airline from seattle to cincinnati EOS	O O B-flight_time I-flight_time O O B-flight_mod O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS find me the cheapest one way fare i can get from cleveland to la EOS	O O B-cost_relative B-round_trip I-round_trip O O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS how many first class flights does jetblue airlines have EOS	O B-class_type I-class_type O O B-airline_name I-airline_name O atis_quantity
BOS what is the cheapest fare one way between montreal and orlando EOS	O O B-cost_relative O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the least expensive one way fare from riverside to ny city EOS	O O B-cost_relative I-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS give me the lowest fare from pittsburgh to houston on apr seventh please EOS	O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number O atis_airfare
BOS january i please see airlines and flight numbers from san antonio to nashville on the same date february seventeenth also arriving in nashville before afternoon thank you EOS	O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.date_relative O B-depart_date.month_name B-depart_date.day_number O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time O O atis_airline
BOS please list the flight times from minneapolis to burbank EOS	O O B-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS how much is an economy ticket from washington to st petersburg on oct thirtieth EOS	O O O B-economy O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_airfare
BOS what airlines fly houston to boston EOS	O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS i need the cost of a ticket going from austin to queens a first class ticket on united airlines EOS	O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-class_type I-class_type O O B-airline_name I-airline_name atis_airfare
BOS how much is a 1st class round trip from orlando to st petersburg EOS	O O O B-class_type I-class_type B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS what kind of aircraft do you have flying from manhattan to fort worth on feb twenty seventh EOS	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number I-depart_date.day_number atis_aircraft
BOS what is the lowest travel fare that delta has between disneyland and new francisco EOS	O O B-cost_relative I-cost_relative O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS what are the coach class fares on flights from minneapolis to atlanta EOS	O O B-class_type I-class_type O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS find the cheapest one way fare from seattle to cleveland EOS	O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS please list ground transportation in manhattan EOS	O O O O B-city_name atis_ground_service
BOS could you please tell me the cheapest fare from stratford to riverside EOS	O O O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the least expensive one way ticket from boston to orlando leaving on jan twelfth EOS	O O B-cost_relative I-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.month_name B-depart_date.day_number atis_airfare
BOS whats the biggest plane flying from montreal to philly on july seventeenth EOS	O B-mod O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_aircraft
BOS show me ground transportation in dallas EOS	O O O O B-city_name atis_ground_service
BOS is there an airport limousine at the seattle airport EOS	O O B-transport_type I-transport_type O O B-airport_name I-airport_name atis_ground_service
BOS show all airlines flying from oakland to st paul EOS	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airline
BOS okay i would like to know the type of aircraft used on a flight from cleveland to sanford please EOS	O O O O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O atis_aircraft
BOS what is the fare going from minneapolis to appleton one way on jan seventh EOS	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip O B-depart_date.month_name B-depart_date.day_number atis_airfare
BOS what ground transportation is available in pittsburgh EOS	O O O O O B-city_name atis_ground_service
BOS what airlines have business class service between manhattan and st paul EOS	O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airline
BOS id like a ticket on a plane from tampa to minneapolis i would like a coach class or lowest fare ticket EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-class_type I-class_type O B-cost_relative O O atis_airfare
BOS please tell me how many nonstop flights there are from minneapolis to dallas EOS	O O O O B-flight_stop O O O O B-fromloc.city_name O B-toloc.city_name atis_quantity
BOS what ground transportation is there in manhattan EOS	O O O O O B-city_name atis_ground_service
BOS please give me the flight times the afternoon on air canada for august twentieth from baltimore to san antonio EOS	O O O B-flight_time I-flight_time O B-depart_time.period_of_day O B-airline_name I-airline_name O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight_time
BOS show me round trip fares from oakland to austin EOS	O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the round trip fare on northwest 1291 from burbank to los angeles and return EOS	O O B-round_trip I-round_trip O O B-airline_name B-flight_number O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-round_trip atis_airfare
BOS show me times for coach flights between austin and tacoma on sunday EOS	O B-flight_time O B-class_type O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name atis_flight_time
BOS give me the most expensive first class round trip ticket on us air from cleveland to knoxville EOS	O O B-cost_relative I-cost_relative B-class_type I-class_type B-round_trip I-round_trip O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what are the fares for flights serving a meal from nashville to boston before afternoon on sunday EOS	O O O O O O O B-meal O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time O B-depart_date.day_name atis_airfare
BOS show me fares from burbank to kansas city EOS	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS what is the ground transportation available in the city of westchester county EOS	O O O O O O O O O B-city_name I-city_name atis_ground_service
BOS fares and flights from burbank to riverside EOS	O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS show me the ground transportation schedule in salt lake on fri noon EOS	O O O O O O B-city_name I-city_name O B-day_name B-period_of_day atis_ground_service
BOS what is the fare going from boston to sanford one way on april seventh EOS	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip O B-depart_date.month_name B-depart_date.day_number atis_airfare
BOS round trip fares from toronto to stratford less than 1000 dollars or round trip fares from riverside to stratford less than 1000 dollars or round trip fares from stratford to sanford less than 1000 dollars EOS	I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount B-or B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount B-or B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name B-cost_relative O B-fare_amount I-fare_amount atis_airfare
BOS please tell me the type of aircraft used from stratford to burbank before 8 oclock night EOS	O O O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time atis_aircraft
BOS could you please tell me the airlines that aviate from montreal to san luis EOS	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airline
BOS what type of aircraft is used on the flight from charlotte to philadelphia before 8 oclock evening EOS	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time atis_aircraft
BOS show me the fares on all flights round trip from ny to boston EOS	O O O O O O B-round_trip I-round_trip O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS show me all economy prices from brooklyn to boston EOS	O O B-economy O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the ground transportation from burbank airport to burbank downtown EOS	O O O O O B-fromloc.airport_name I-fromloc.airport_name O B-toloc.city_name O atis_ground_service
BOS what ground transportation is available in new mexico EOS	O O O O O B-city_name I-city_name atis_ground_service
BOS in kansas city ill need to rent a car EOS	B-city_name I-city_name O O O O O B-transport_type atis_ground_service
BOS show me ground transportation in manhattan EOS	O O O O B-city_name atis_ground_service
BOS id like to find the cheapest one way fare from queens to la EOS	O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what ground transportation is there in montreal EOS	O O O O O B-city_name atis_ground_service
BOS ground transportation between airport and downtown in riverside EOS	O O O O O O B-toloc.city_name atis_ground_service
BOS show me ground transportation in minneapolis please EOS	O O O O B-city_name O atis_ground_service
BOS hi i want a round trip ticket to oakland EOS	O O O B-round_trip I-round_trip O O B-toloc.city_name atis_airfare
BOS what is the ground transportation available in the city of montreal EOS	O O O O O O O O O B-city_name atis_ground_service
BOS what are the fares for flights between cleveland and dfw EOS	O O O O O O B-fromloc.city_name O B-toloc.airport_code atis_airfare
BOS of all airlines which airline has the most arrivals in memphis EOS	O O O O O O B-mod O O B-toloc.city_name atis_airline
BOS list types of aircraft that connect orlando and new jersey EOS	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_aircraft
BOS what are the fares between los angeles and pittsburgh on sunday afternoon EOS	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day atis_airfare
BOS what is the cheapest one way fare from houston to washington EOS	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS id like a round trip ticket from san francisco to appleton washington EOS	O O B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_name atis_airfare
BOS what are the schedule of flights from tampa to santa monica for jun first EOS	O O B-flight_time O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_flight_time
BOS show me the first class fares from oakland to brooklyn EOS	O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS first class round trip airfare from sanford to ottawa EOS	I-class_type B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS all fares and flights from milwaukee EOS	O O O O B-fromloc.city_name atis_airfare
BOS i need fare information from austin to detroit EOS	O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS is there ground transportation in philly from the airport EOS	O O O O B-city_name O O O atis_ground_service
BOS what ground transportation is available in burbank for the day after tomorrow EOS	O O O O O B-city_name O B-today_relative I-today_relative I-today_relative I-today_relative atis_ground_service
BOS could you please book me the round trip fare from houston to portland EOS	O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS how much does a 1st class ticket cost from nashville to san francisco round trip EOS	O O O B-class_type I-class_type O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-round_trip I-round_trip atis_airfare
BOS show me the price of all flights from memphis to washington dc EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code atis_airfare
BOS wahat time does flight aa 459 depart EOS	B-flight_time O O B-airline_code B-flight_number O atis_flight_time
BOS how many airlines fly from kansas city to ny city by way of cleveland EOS	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O B-stoploc.city_name atis_quantity
BOS what are the fares from manhattan to riverside tue and sunday EOS	O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name O B-depart_date.day_name atis_airfare
BOS is there ground transportation from the airport in baltimore to downtown EOS	O O O O O O O B-fromloc.city_name O O atis_ground_service
BOS what airlines go from cleveland to stratford EOS	O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS i would like the fare on the delta airline 1039 from queens to burbank on december twenty EOS	O O O O O O B-airline_name I-airline_name B-flight_number O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_airfare
BOS what is the lowest cost for a one way ticket from queens to washington EOS	O O B-cost_relative I-cost_relative O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS ground transport toronto EOS	O B-city_name atis_ground_service
BOS ground transport in nashville EOS	O O B-city_name atis_ground_service
BOS how many of deltas morning flights are 1st class EOS	O O B-airline_name B-depart_time.period_of_day O O B-class_type I-class_type atis_quantity
BOS can you help me with ground transportation information i need to get from the airport in appleton to downtown appleton EOS	O O O O O O O O O O O O O O O B-fromloc.city_name O O B-toloc.city_name atis_ground_service
BOS what kind of airplane is flight ua 270 from dallas to austin EOS	O O O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name atis_aircraft
BOS id like the cheapest cost fare to san francisco from austin EOS	O O B-cost_relative O O O B-toloc.city_name I-toloc.city_name O B-fromloc.city_name atis_airfare
BOS what is the earliest departure time from hartford to newark EOS	O O B-flight_mod B-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS how do i get to milwaukee downtown from the airport EOS	O O O O B-toloc.city_name O O O O atis_ground_service
BOS which airlines fly from miami to ny city but lands in some other city EOS	O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O O O O atis_airline
